names,descriptions,classified_products
Ladies' Luxury Snow Coat,"Lightweight and cool in the hottest conditions, this outback shade hat is the ideal choice for all your warm-weather outdoor activities. Size & Fit: Adjustable chin and back straps for maximum comfort and security. Fabric & Care: Shell is a lightweight and quick-drying nylon/polyester blend. Sweatband is CoolMax moisture-wicking polyester. UPF 50+ rated – the highest rated sun protection possible. Handwash, line dry. Additional Features: Darker color on inside brim enhances shade. Foam insert in the brim helps the hat keep its shape and will float. Back flap tucks into hidden pocket under rear half of brim. Imported. ","['Clothing', 'Outerwear', 'Coats']"
Cozy Cottage Love Seat and Slipcover,"Lightweight and cool in the hottest conditions, this outback shade hat is the ideal choice for all your warm-weather outdoor activities. Size & Fit: Adjustable chin and back straps for maximum comfort and security. Fabric & Care: Shell is a lightweight and quick-drying nylon/polyester blend. Sweatband is CoolMax moisture-wicking polyester. UPF 50+ rated – the highest rated sun protection possible. Handwash, line dry. Additional Features: Darker color on inside brim enhances shade. Foam insert in the brim helps the hat keep its shape and will float. Back flap tucks into hidden pocket under rear half of brim. Imported. ","['Outdoor Clothing', 'Hats', 'Sun Protection Accessories']"
"Mountain Trekkers, Suede Mesh","Lightweight and cool in the hottest conditions, this outback shade hat is the ideal choice for all your warm-weather outdoor activities. Size & Fit: Adjustable chin and back straps for maximum comfort and security. Fabric & Care: Shell is a lightweight and quick-drying nylon/polyester blend. Sweatband is CoolMax moisture-wicking polyester. UPF 50+ rated – the highest rated sun protection possible. Handwash, line dry. Additional Features: Darker color on inside brim enhances shade. Foam insert in the brim helps the hat keep its shape and will float. Back flap tucks into hidden pocket under rear half of brim. Imported. ","['Clothing', 'Hats', 'Outdoor Accessories']"
Truck Seat Storage Caddy by,"This handy organizer stores and organizes all your fishing gear behind the front seat of your vehicle. It's generously equipped with pockets to accommodate your fishing gear and accessories. ","['Outdoor Accessories', 'Fishing Gear', 'Vehicle Organizers']"
"Luminous Journey Tee, Reflective Graphic","This handy organizer stores and organizes all your fishing gear behind the front seat of your vehicle. It's generously equipped with pockets to accommodate your fishing gear and accessories. ","['Clothing', 'T-Shirts', 'Outdoor Apparel']"
Women's OluKai Paniolo Slides,"This handy organizer stores and organizes all your fishing gear behind the front seat of your vehicle. It's generously equipped with pockets to accommodate your fishing gear and accessories. ","['Footwear', 'Slides', ""Women's Shoes""]"
Camp Comfort Footwear,"These men's handsewn moccasins are a customer favorite for their classic style and custom-made feel that only gets better with time. ","['Footwear', ""Men's Clothing"", 'Outdoor Accessories']"
Kids' Super Snuggly Slippers,"These men's handsewn moccasins are a customer favorite for their classic style and custom-made feel that only gets better with time. ","['Footwear', 'Slippers', ""Kids' Clothing""]"
Adults' Cozy Comfort Fleece Bartie,"Designed to be ultrawarm and functional, this fleece hat can be worn on the first fall day well into snow-shoveling season. With a rugged exterior and soft, smooth interior, it's a keep-by-the-door necessity when the weather gets chilly. ","['Clothing', 'Accessories', 'Hats']"
Darn Tough Junior Trailblazer Socks,"Designed to be ultrawarm and functional, this fleece hat can be worn on the first fall day well into snow-shoveling season. With a rugged exterior and soft, smooth interior, it's a keep-by-the-door necessity when the weather gets chilly. ","['Clothing', 'Socks', 'Outdoor Accessories']"
Island Explorer 2 Inflatable Kayak,"The Island Voyage 2 is a two-person inflatable family kayak filled with features that make it easy and fun to use. It inflates and deflates easily while packing down small so it can be stowed in the back of your vehicle. ","['Outdoor Equipment', 'Water Sports', 'Kayaks']"
Women's Mountain Peak Reversible Jacket,"This ultimate reversible jacket provides two great options. We combined the cozy comfort of plush fleece and the ultralight warmth of Primaloft® insulation to provide light activity up to 45° and moderate activity up to -5°.","[""Women's Clothing"", 'Jackets', 'Outdoor Apparel']"
Men's Vasque Breeze Light Comfort Hiking Shoes,"These Vasque speed hiking shoes are designed to be lightweight and stable for fast-paced trails. This version is about half a pound lighter than the regular Breeze style.","['Footwear', 'Hiking Shoes', ""Men's Outdoor Clothing""]"
Outdoor Adventure Hunting Pants,"These Vasque speed hiking shoes are designed to be lightweight and stable for fast-paced trails. This version is about half a pound lighter than the regular Breeze style.","['Clothing', 'Pants', 'Hiking Gear']"
Luxury Azur Denim Shorts,"True indigo-dyed canvas brings rich color and lightweight comfort to these cool summer shorts. ","['Clothing', 'Shorts', 'Summer Wear']"
Nautical Navy Patio Settee,"Enjoy outdoor relaxation with our comfortable All-Weather settee. Crafted with care in the USA, it is designed to provide years of comfort with low maintenance and coordinates perfectly with our All-Weather Collection.","['Outdoor Furniture', 'Patio Furniture', 'Settee']"
Women's Ultralight 850 Featherweight Hooded Jacket,"Our revolutionary 850 jacket is unparalleled in its performance. We combined the best of outerwear technology with innovative DownTek fill, 850-fill-power and a Pertex Quantum nylon shell for unbeatable warmth and protection. Light activity: to 30°  Moderate activity: to -20°. Its slightly fitted design looks great and falls at the hip for comfortable wear. ","['Clothing', 'Outerwear', 'Jackets']"
Men's Ultra-Lightweight Down Print Jacket,"Our revolutionary 850 down jacket defies cold, wet weather – and comparison. We combined all the best outerwear technology – innovative DownTek fill, 850-fill-power and a Pertex Quantum polyester shell – for unbeatable performance.","['Clothing', 'Outerwear', 'Jackets']"
Juju Baetis Craven's Dual Duo,"Our revolutionary 850 down jacket defies cold, wet weather – and comparison. We combined all the best outerwear technology – innovative DownTek fill, 850-fill-power and a Pertex Quantum polyester shell – for unbeatable performance.","['Clothing', 'Outerwear', 'Jackets']"
Crowned Classics Straight-Leg Denim,"Our ladies' straight-leg jeans are designed with every detail in mind and handfinished to ensure they fit perfectly.","['Clothing', 'Pants', 'Denim']"
Maine Woods Zip-Front Insulated Shirt,"Our warmest zip-front Jac Shirt features all the benefits of wool with the added warmth of a Primaloft Silver lining. It's a great insulated hunting shirt to add to your wardrobe. ","['Clothing', 'Shirts', 'Insulated Wear']"
"Vector XL 6-Person Dome Tent, Ground Cover","Our Vector XL Dome 6-Person Tent footprint is easy-to-use and cut to the shape of the matching tent. It acts as a vapor barrier and floor protector to extend the life of your tent. ","['Tents', 'Camping Gear', 'Outdoor Accessories']"
"Men's Alpine Down Jacket, Colorblock","Our Vector XL Dome 6-Person Tent footprint is easy-to-use and cut to the shape of the matching tent. It acts as a vapor barrier and floor protector to extend the life of your tent. ","['Clothing', 'Jackets', ""Men's Apparel""]"
Women's Mountain Peak Full-Zip Jacket,"We've taken our classic anorak design and given it a modern twist with a full-zip style and heritage-inspired details.","['Jackets', ""Women's Clothing"", 'Outdoor Apparel']"
Crowned Mountain Henley Sweater,"We've taken our classic anorak design and given it a modern twist with a full-zip style and heritage-inspired details.","['Clothing', 'Sweaters', 'Outdoor Apparel']"
Park Ridge Everyday Booties,"These attractive, weatherproof boot mocs will keep your feet comfortable and dry when the weather turns wet and cool. A feminine update to the classic waterproof work boot.","['Footwear', 'Boots', 'Outdoor Clothing']"
Women's Keen Targhee II All-Terrain Hiking Boots,"On tough trails or around town, these women’s Keen Targhee II hiking boots offer waterproof comfort in a rugged package. ","['Footwear', 'Hiking Boots', ""Women's Outdoor Clothing""]"
Cedar Cove Comfort Sleeper Sofa and Slipcover,"This sleeper sofa with cover is the perfect choice for overnight guests. With a mattress that pulls out easily and a pop-up headrest for optimal reading or movie-watching comfort, your guests can experience the royal treatment.","['Furniture', 'Sofas', 'Sleepers']"
Mountain Maven Reversible Jacket,"Double down on cool, damp weather with our boys' reversible jacket. With plush fleece on one side and water-resistant nylon on the other, it's two great options – at one great value. ","['Clothing', 'Outerwear', 'Jackets']"
The Gentleman's Brimmed Cap,"Made from breathable nylon that resists water and stains, this bucket hat offers top sun protection and a timeless design for everyday wear.","['Clothing', 'Accessories', 'Hats']"
Lightning Lantern 45,"This innovative camping lantern uses circular COB LEDs that put out more light than standard LEDs. It also has an amazing 45-day burn time on low power. You'll be sure to shine with its specs: Dimensions: 8.5""H x 4.1"" diam., Weight: 13 oz. without batteries, Light output: 350 lumens on high; 20 lumens on low, and Run time: 19.5 hours on high; 45 days on low. ","['Camping Gear', 'Lighting', 'Outdoor Equipment']"
Men's Pearl Izumi Elite Pursuit Shorts,"These men's cycling shorts have all the essential features for a long, comfortable ride, such as chamois padding, eight-panel design, moisture-wicking fabric and UPF 50+ sun protection. ","['Clothing', 'Cycling', 'Shorts']"
Young Adventurers' All-Weather Hiking Shoes,"These men's cycling shorts have all the essential features for a long, comfortable ride, such as chamois padding, eight-panel design, moisture-wicking fabric and UPF 50+ sun protection. ","['Footwear', 'Hiking', 'Outdoor Gear']"
Women's Waterproof Primaloft Packable Jacket,"These men's cycling shorts have all the essential features for a long, comfortable ride, such as chamois padding, eight-panel design, moisture-wicking fabric and UPF 50+ sun protection. ","['Clothing', 'Jackets', ""Women's Apparel""]"
Men's Brooks Core Running Vest,"This fitness vest is the perfect layering piece for your vigorous pursuits. It allows excellent freedom of movement and features high-visibility accents for safety. ","['Clothing', 'Activewear', 'Vests']"
